trade_date,ivix,date
20250930,18.02202487284293,2025-09-30
20250929,18.474063149987984,2025-09-29
20250926,16.595368208903484,2025-09-26
20250925,16.30179276418994,2025-09-25
20250924,17.435268987115805,2025-09-24
20250923,17.97874148543739,2025-09-23
20250922,18.297734176502686,2025-09-22
20250919,18.306091289323028,2025-09-19
20250918,19.664370691720308,2025-09-18
20250917,19.81566732272568,2025-09-17
20250916,19.191523579112346,2025-09-16
20250915,19.13389648376052,2025-09-15
20250912,18.60126910562137,2025-09-12
20250911,19.407074579335664,2025-09-11
20250910,17.264857884510555,2025-09-10
20250909,18.25935808967897,2025-09-09
20250908,19.065654999488967,2025-09-08
20250905,19.28374062418455,2025-09-05
20250904,21.18005325718166,2025-09-04
20250903,20.76113483552844,2025-09-03
20250902,22.34137692937296,2025-09-02
20250901,22.430345835415764,2025-09-01
20250829,23.93796414306153,2025-08-29
20250828,23.859620455354428,2025-08-28
20250827,23.550346807363155,2025-08-27
20250826,25.06795130413571,2025-08-26
20250825,26.503423444299063,2025-08-25
20250822,22.05741743775428,2025-08-22
20250821,21.01016744326439,2025-08-21
20250820,21.03913679913865,2025-08-20
20250819,19.940842174058044,2025-08-19
20250818,21.23087403957205,2025-08-18
20250815,19.310753173490763,2025-08-15
20250814,17.456918229545156,2025-08-14
20250813,17.389041240998125,2025-08-13
20250812,16.131808258461433,2025-08-12
20250811,15.81551175899108,2025-08-11
20250808,15.25984422840397,2025-08-08
20250807,15.62248045537648,2025-08-07
20250806,15.5789689977117,2025-08-06
20250805,15.580010039516246,2025-08-05
20250804,15.783297479696431,2025-08-04
20250801,15.733792331776684,2025-08-01
20250731,16.716316686543912,2025-07-31
20250730,17.03434745478158,2025-07-30
20250729,17.527295427917412,2025-07-29
20250728,17.46767454900461,2025-07-28
20250725,16.77646959790116,2025-07-25
20250724,16.529450313604972,2025-07-24
20250723,17.083688946478265,2025-07-23
20250722,15.218394179509168,2025-07-22
20250721,14.860673094094016,2025-07-21
20250718,13.263374314744746,2025-07-18
20250717,13.171239563138837,2025-07-17
20250716,12.75727187601289,2025-07-16
20250715,14.806349222913443,2025-07-15
20250714,15.67556799953375,2025-07-14
20250711,15.72138872424491,2025-07-11
20250710,15.23385874488827,2025-07-10
20250709,14.911493407965487,2025-07-09
20250708,14.824808693101064,2025-07-08
20250707,14.297381250455944,2025-07-07
20250704,14.027356842614145,2025-07-04
20250703,13.75915007464988,2025-07-03
20250702,13.731325498166122,2025-07-02
20250701,13.926935551027691,2025-07-01
20250630,14.178670750347791,2025-06-30
20250627,14.071072669384185,2025-06-27
20250626,15.03238557051163,2025-06-26
20250625,16.336141391213356,2025-06-25
20250624,13.797730987078872,2025-06-24
20250623,13.193423729385504,2025-06-23
20250620,12.962523744748696,2025-06-20
20250619,13.788757150595323,2025-06-19
20250618,13.532949340829328,2025-06-18
20250617,13.731835129811577,2025-06-17
20250616,13.82141119777045,2025-06-16
20250613,14.0583466094953,2025-06-13
20250612,13.909942994820526,2025-06-12
20250611,13.931705022104518,2025-06-11
20250610,13.81689984073464,2025-06-10
20250609,14.052311895861347,2025-06-09
20250606,13.78958459612064,2025-06-06
20250605,14.022204294964585,2025-06-05
20250604,14.000344889386133,2025-06-04
20250603,14.251094002401436,2025-06-03
20250530,14.688796303568504,2025-05-30
20250529,14.942761805906567,2025-05-29
20250528,15.67353830499662,2025-05-28
20250527,15.588976997600426,2025-05-27
20250526,15.584236338080467,2025-05-26
20250523,16.147901516803113,2025-05-23
20250522,16.298042662999755,2025-05-22
20250521,15.659096149296486,2025-05-21
20250520,14.841001828361634,2025-05-20
20250519,14.42027262714419,2025-05-19
20250516,14.88340550029504,2025-05-16
20250515,16.215264205756434,2025-05-15
20250514,17.02056263302201,2025-05-14
20250513,14.878368413450383,2025-05-13
20250512,15.763094465929134,2025-05-12
20250509,14.603863076038106,2025-05-09
20250508,14.353645635665266,2025-05-08
20250507,14.433705226532217,2025-05-07
20250506,14.802878420882912,2025-05-06
20250430,16.51211904488763,2025-04-30
20250429,15.704873175365467,2025-04-29
20250428,15.669763659544486,2025-04-28
20250425,15.06735264918882,2025-04-25
20250424,14.92224517075148,2025-04-24
20250423,15.169614488740343,2025-04-23
20250422,15.358771181173193,2025-04-22
20250421,15.277262800868582,2025-04-21
20250418,15.206533807867032,2025-04-18
20250417,15.09092313161172,2025-04-17
20250416,15.379362979371669,2025-04-16
20250415,16.14850436051974,2025-04-15
20250414,17.152792240402555,2025-04-14
20250411,19.139622636510627,2025-04-11
20250410,20.15143247912489,2025-04-10
20250409,22.76587632031472,2025-04-09
20250408,24.74586981435814,2025-04-08
20250407,24.931344976473195,2025-04-07
20250403,14.839320236473185,2025-04-03
20250402,14.911359611607104,2025-04-02
20250401,14.980256161462668,2025-04-01
20250331,15.213551272987033,2025-03-31
20250328,14.331979341170705,2025-03-28
20250327,14.083891319721037,2025-03-27
20250326,14.848490172195422,2025-03-26
20250325,14.986854924158378,2025-03-25
20250324,15.24141959766816,2025-03-24
20250321,15.420911293470752,2025-03-21
20250320,15.954854208372913,2025-03-20
20250319,16.765811873676427,2025-03-19
20250318,16.926422187734033,2025-03-18
20250317,17.147382631149295,2025-03-17
20250314,16.91223211372284,2025-03-14
20250313,15.195059938245642,2025-03-13
20250312,15.051255680928316,2025-03-12
20250311,15.06232356947977,2025-03-11
20250310,14.777279772979313,2025-03-10
20250307,14.700501782776568,2025-03-07
20250306,15.978852703017326,2025-03-06
20250305,15.464349845318386,2025-03-05
20250304,15.580251763044217,2025-03-04
20250303,16.20094822290753,2025-03-03
20250228,17.404158129601992,2025-02-28
20250227,16.739450388111308,2025-02-27
20250226,17.60229612009274,2025-02-26
20250225,17.682411972143168,2025-02-25
20250224,17.461661380078638,2025-02-24
20250221,18.29366709968001,2025-02-21
20250220,17.303707750065627,2025-02-20
20250219,17.51211765977316,2025-02-19
20250218,17.965799223884666,2025-02-18
20250217,17.963480089064642,2025-02-17
20250214,17.248939077142314,2025-02-14
20250213,17.711640337300295,2025-02-13
20250212,18.362799779417475,2025-02-12
20250211,18.04661214683004,2025-02-11
20250210,18.63986900742557,2025-02-10
20250207,18.250563161582484,2025-02-07
20250206,17.94925129765322,2025-02-06
20250205,18.48271446289482,2025-02-05
20250127,17.353764830828318,2025-01-27
20250124,17.154225139131736,2025-01-24
20250123,17.674294120899827,2025-01-23
20250122,16.676957805147342,2025-01-22
20250121,16.47893295126325,2025-01-21
20250120,16.922580802605523,2025-01-20
20250117,15.992278467236924,2025-01-17
20250116,14.922255369836288,2025-01-16
20250115,14.49700542567244,2025-01-15
20250114,18.63956669284868,2025-01-14
20250113,18.1816951035,2025-01-13
20250110,17.14526789030253,2025-01-10
20250109,17.05671347738365,2025-01-09
20250108,17.67074806798665,2025-01-08
20250107,18.3309967416246,2025-01-07
20250106,20.12745590553845,2025-01-06
20250103,19.05141277518545,2025-01-03
20250102,19.074110748693844,2025-01-02
20241231,16.74485280779508,2024-12-31
20241230,17.021130257812654,2024-12-30
20241227,17.17389432467705,2024-12-27
20241226,17.610856594981346,2024-12-26
20241225,18.791631084553977,2024-12-25
20241224,18.446651481639297,2024-12-24
20241223,18.720208242843896,2024-12-23
20241220,18.78939750904401,2024-12-20
20241219,19.574807170762604,2024-12-19
20241218,19.3498156423135,2024-12-18
20241217,20.373782944229983,2024-12-17
20241216,20.316307108741004,2024-12-16
20241213,21.2722445068941,2024-12-13
20241212,22.049844186368308,2024-12-12
20241211,21.804637736178886,2024-12-11
20241210,22.095020954320773,2024-12-10
20241209,21.015379083705195,2024-12-09
20241206,21.382843753174523,2024-12-06
20241205,21.20905368316541,2024-12-05
20241204,22.430519944752884,2024-12-04
20241203,22.13247174910012,2024-12-03
20241202,21.93795595511873,2024-12-02
20241129,21.7005302065878,2024-11-29
20241128,21.46480287571384,2024-11-28
20241127,23.57183036221956,2024-11-27
20241126,23.320479587083767,2024-11-26
20241125,23.876954528933584,2024-11-25
20241122,24.601253319164947,2024-11-22
20241121,23.1904371886547,2024-11-21
20241120,24.999864817205445,2024-11-20
20241119,26.288246884873768,2024-11-19
20241118,26.12538798760746,2024-11-18
20241115,24.97440466542843,2024-11-15
20241114,25.958856563255434,2024-11-14
20241113,25.93868575313804,2024-11-13
20241112,27.146019300152368,2024-11-12
20241111,27.96333260416872,2024-11-11
20241108,31.44921293478415,2024-11-08
20241107,31.82362349399708,2024-11-07
20241106,31.21275109343812,2024-11-06
20241105,32.31597558007012,2024-11-05
20241104,31.83689839507353,2024-11-04
20241101,31.218972197215177,2024-11-01
20241031,30.69772684352569,2024-10-31
20241030,28.835008052290096,2024-10-30
20241029,27.48013070705752,2024-10-29
20241028,28.123610222812207,2024-10-28
20241025,26.37740206237703,2024-10-25
20241024,25.15371960889875,2024-10-24
20241023,26.01549893683621,2024-10-23
20241022,29.54975131984316,2024-10-22
20241021,31.366457318667628,2024-10-21
20241018,30.56065205052031,2024-10-18
20241017,23.11481809210134,2024-10-17
20241016,24.22877241165738,2024-10-16
20241015,23.615114150021423,2024-10-15
20241014,30.03320804892025,2024-10-14
20241011,35.937811559068834,2024-10-11
20241010,35.54697373693067,2024-10-10
20241009,38.79699511045677,2024-10-09
20241008,46.39411397857994,2024-10-08
20240930,24.48153636891292,2024-09-30
20240927,22.69777382628083,2024-09-27
20240926,20.826176526402858,2024-09-26
20240925,17.286054725805787,2024-09-25
20240924,16.29422490923699,2024-09-24
